A: 0x0080, D: 0xff, D: 255, D: ?
A: 0x0081, D: 0x70, D: 112, D: p
A: 0x0082, D: 0xff, D: 255, D: ?
A: 0x0083, D: 0x00, D: 0, D: ?
A: 0x0084, D: 0xff, D: 255, D: ?
A: 0x0085, D: 0x00, D: 0, D: ?
A: 0x0086, D: 0xff, D: 255, D: ?
A: 0x0087, D: 0x70, D: 112, D: p
A: 0x0088, D: 0xff, D: 255, D: ?
A: 0x0089, D: 0x20, D: 32, D:  
A: 0x008a, D: 0xff, D: 255, D: ?
A: 0x008b, D: 0x00, D: 0, D: ?
A: 0x008c, D: 0xff, D: 255, D: ?
A: 0x008d, D: 0x30, D: 48, D: 0
A: 0x008e, D: 0xff, D: 255, D: ?
A: 0x008f, D: 0x30, D: 48, D: 0
A: 0x0090, D: 0xff, D: 255, D: ?
A: 0x0091, D: 0x80, D: 128, D: ?
A: 0x0092, D: 0xff, D: 255, D: ?
A: 0x0093, D: 0x30, D: 48, D: 0
A: 0x0094, D: 0xff, D: 255, D: ?
A: 0x0095, D: 0x00, D: 0, D: ?
A: 0x0096, D: 0xff, D: 255, D: ?
A: 0x0097, D: 0x20, D: 32, D:  
A: 0x0098, D: 0xff, D: 255, D: ?
A: 0x0099, D: 0x90, D: 144, D: ?
A: 0x009a, D: 0xff, D: 255, D: ?
A: 0x009b, D: 0x00, D: 0, D: ?
A: 0x009c, D: 0xff, D: 255, D: ?
A: 0x009d, D: 0x00, D: 0, D: ?
A: 0x009e, D: 0xff, D: 255, D: ?
A: 0x009f, D: 0xf0, D: 240, D: ?
A: 0x00a0, D: 0xff, D: 255, D: ?
A: 0x00a1, D: 0x20, D: 32, D:  
A: 0x00a2, D: 0xff, D: 255, D: ?
A: 0x00a3, D: 0x00, D: 0, D: ?
A: 0x00a4, D: 0xff, D: 255, D: ?
A: 0x00a5, D: 0x80, D: 128, D: ?
A: 0x00a6, D: 0xff, D: 255, D: ?
A: 0x00a7, D: 0x00, D: 0, D: ?
A: 0x00a8, D: 0xff, D: 255, D: ?
A: 0x00a9, D: 0x00, D: 0, D: ?
A: 0x00aa, D: 0xff, D: 255, D: ?
A: 0x00ab, D: 0xe0, D: 224, D: ?
A: 0x00ac, D: 0xff, D: 255, D: ?
A: 0x00ad, D: 0x30, D: 48, D: 0
A: 0x00ae, D: 0xff, D: 255, D: ?
A: 0x00af, D: 0x00, D: 0, D: ?
A: 0x00b0, D: 0xff, D: 255, D: ?
A: 0x00b1, D: 0x70, D: 112, D: p
A: 0x00b2, D: 0xff, D: 255, D: ?
A: 0x00b3, D: 0x28, D: 40, D: (
A: 0x00b4, D: 0xff, D: 255, D: ?
A: 0x00b5, D: 0x00, D: 0, D: ?
A: 0x00b6, D: 0xff, D: 255, D: ?
A: 0x00b7, D: 0xd0, D: 208, D: ?
A: 0x00b8, D: 0xff, D: 255, D: ?
A: 0x00b9, D: 0x20, D: 32, D:  
A: 0x00ba, D: 0xff, D: 255, D: ?
A: 0x00bb, D: 0x08, D: 8, D: ?
A: 0x00bc, D: 0xff, D: 255, D: ?
A: 0x00bd, D: 0xb0, D: 176, D: ?
A: 0x00be, D: 0xff, D: 255, D: ?
A: 0x00bf, D: 0x30, D: 48, D: 0
A: 0x00c0, D: 0xff, D: 255, D: ?
A: 0x00c1, D: 0x00, D: 0, D: ?
A: 0x00c2, D: 0xff, D: 255, D: ?
A: 0x00c3, D: 0x30, D: 48, D: 0
A: 0x00c4, D: 0xff, D: 255, D: ?
A: 0x00c5, D: 0x00, D: 0, D: ?
A: 0x00c6, D: 0xff, D: 255, D: ?
A: 0x00c7, D: 0x80, D: 128, D: ?
A: 0x00c8, D: 0xff, D: 255, D: ?
A: 0x00c9, D: 0x70, D: 112, D: p
A: 0x00ca, D: 0xff, D: 255, D: ?
A: 0x00cb, D: 0x28, D: 40, D: (
A: 0x00cc, D: 0xff, D: 255, D: ?
A: 0x00cd, D: 0xb0, D: 176, D: ?
A: 0x00ce, D: 0xff, D: 255, D: ?
A: 0x00cf, D: 0x70, D: 112, D: p
A: 0x00d0, D: 0xff, D: 255, D: ?
A: 0x00d1, D: 0x20, D: 32, D:  
A: 0x00d2, D: 0xff, D: 255, D: ?
A: 0x00d3, D: 0xa0, D: 160, D: ?
A: 0x00d4, D: 0xff, D: 255, D: ?
A: 0x00d5, D: 0x50, D: 80, D: P
A: 0x00d6, D: 0xff, D: 255, D: ?
A: 0x00d7, D: 0x00, D: 0, D: ?
A: 0x00d8, D: 0xff, D: 255, D: ?
A: 0x00d9, D: 0x00, D: 0, D: ?
A: 0x00da, D: 0xff, D: 255, D: ?
A: 0x00db, D: 0x38, D: 56, D: 8
A: 0x00dc, D: 0xff, D: 255, D: ?
A: 0x00dd, D: 0x30, D: 48, D: 0
A: 0x00de, D: 0xff, D: 255, D: ?
A: 0x00df, D: 0x00, D: 0, D: ?
A: 0x00e0, D: 0xff, D: 255, D: ?
A: 0x00e1, D: 0xa0, D: 160, D: ?
A: 0x00e2, D: 0xff, D: 255, D: ?
A: 0x00e3, D: 0x20, D: 32, D:  
A: 0x00e4, D: 0xff, D: 255, D: ?
A: 0x00e5, D: 0x30, D: 48, D: 0
A: 0x00e6, D: 0xff, D: 255, D: ?
A: 0x00e7, D: 0xf0, D: 240, D: ?
A: 0x00e8, D: 0xff, D: 255, D: ?
A: 0x00e9, D: 0x30, D: 48, D: 0
A: 0x00ea, D: 0xff, D: 255, D: ?
A: 0x00eb, D: 0x00, D: 0, D: ?
A: 0x00ec, D: 0xff, D: 255, D: ?
A: 0x00ed, D: 0xb0, D: 176, D: ?
A: 0x00ee, D: 0xff, D: 255, D: ?
A: 0x00ef, D: 0x20, D: 32, D:  
A: 0x00f0, D: 0xff, D: 255, D: ?
A: 0x00f1, D: 0x00, D: 0, D: ?
A: 0x00f2, D: 0xff, D: 255, D: ?
A: 0x00f3, D: 0xf8, D: 248, D: ?
A: 0x00f4, D: 0xff, D: 255, D: ?
A: 0x00f5, D: 0x00, D: 0, D: ?
A: 0x00f6, D: 0xff, D: 255, D: ?
A: 0x00f7, D: 0x90, D: 144, D: ?
A: 0x00f8, D: 0xff, D: 255, D: ?
